pr_number,repo,title,type,files_changed,complexity_tier,issue_body_chars,base_commit,merge_commit
6951,tobymao/sqlglot,feat(optimizer)!: Annotate `BITWISE OPERATORS` for Presto/Trino,feat,2,simple,1048,d01657a581a42f1588436882d190b20f4ea004a0,cec0f27f17f01c7b1355f1c1306a0f08af639331
6955,tobymao/sqlglot,feat(parser)!!: robust parsing for stored procedures,feat,8,complex,1289,1e753a35405edaf9b6a1b90fccd74eaef23a028b,a41a3e9421affd046968693c275d5531f89d098f
6961,tobymao/sqlglot,feat(generator): Add numeric TRUNC output for additional dialects,feat,12,complex,1152,1418494f777358f4b6bd1e05ee5cb02591d92c74,ff1fd521147cb66acc36f2da7b1590d9e7f8140f
6970,tobymao/sqlglot,feat(optimizer)!: Annotate `OVERLAY(expr)` for Spark/DBX,feat,2,simple,429,ade3639b337d0222a00feec7ac9762571586f7ab,57093d15d5bbc2217366ace42db109e215dca79f
7029,tobymao/sqlglot,fix(duckdb)!: update transpilation of SEQ functions and GENERATOR for DuckDB,fix,2,simple,1490,235b8ac24d41324239d6581b5636ad19ec7b9376,f476d071a1412fb2d9cd6f39067380252ab4c15a
7050,tobymao/sqlglot,Refactor!: use `IntEnum` instead of auto/string enums,refactor,2,simple,228,58419e1f47119a135276a722b85ccfa92ae3d1f1,13ee31281fe21c670f8ce1656520c18762e8402f
7077,tobymao/sqlglot,feat(optimizer)!: annotate `DEGREES(expr)` for T-SQL,feat,2,simple,237,eaba8dc26b2ec28b8074eb0cf2b3db086cf7ccc3,a87c1b46b54ef7f6895c68666c05041924691576
7080,tobymao/sqlglot,feat(DuckDb): Add transpilation support for ARRAY_MAX and ARRAY_MIN functions,feat,6,complex,3860,f12a58f86501ef726335f147b7171d01b162ea79,b569a3d7628600608144d1d93e17eab4cafe4217
7104,tobymao/sqlglot,"feat(optimizer)!: parse and annotate ELEMENT_AT for spark2, spark, dbx",feat,5,medium,223,e19abfded7c159c30f53063d10ae57406553f75d,0c4f74f6574d3acf06935626615e2e1f14ae9c04
7117,tobymao/sqlglot,refactor!: expression_core which is now compilable by mypyc,refactor,11,complex,973,37fa8c7219a2f17a351f948d6eb314a543f8784d,1150e3911b0b82a9683f765de11605b14fd66ddb
7147,tobymao/sqlglot,"feat(trino): Add support for ARRAY_FIRST(array, x -> predicate)",feat,3,medium,359,842462e2fc36f7d69ecc4989d0c8d4600e013c61,63f29812e41e1d7d4bb3de349f33c42ee8103498
7153,tobymao/sqlglot,feat(DuckDB)!: Enable transpilation for ARRAY_POSITION function,feat,5,medium,2335,45c33e7387035c7960b5a58b9aca4c6e0fdcebdd,ad9d114aea7f7553485631372d99ec5e5cf85045
7166,tobymao/sqlglot,"feat(spark, dbx): robust SET support",feat,2,simple,214,6fe108a8e4a94ceaacaafb99b47bbd12fb03d8ee,b97da8dea15c39867b23db01624464e7d15427e7
7200,tobymao/sqlglot,feat(duckdb)!: Implement transpilation for ARRAYS_OVERLAP function,feat,4,medium,2319,c341a3d7351e619d8935866611ffb23a32de24f4,a39d3e999e707114226edb806061b80e0164489a
7209,tobymao/sqlglot,feat(clickhouse): support cityHash64,feat,3,medium,822,9431fd457dc4dbad7a963828c5303889573079d3,cc8724d791938e440c8d72d72c4ec301ca02eee9
